"title","category","date","date_created","description"
"What lights your fire","Vision Christian media","""2016-06-09T17:08:18.653Z""","""1970-01-01T00:00:00.000Z""","‘My heart grew hot within me, and as I meditated, the fire burned.’ Psalm 39:3 NIV\r
When God gives you a vision for your life, it’ll burn within you like a fire that can’t be extinguished. The psalmist said, ‘My heart grew hot within me, and as I meditated, the fire burned.’ So, what lights your fire? What burns ‘hot’ within you? When God calls you to do something, He creates within you both the desire to do it and the power to carry it out. Though you feel inadequate and unqualified, stand on His Word: ‘For God is working in you, giving you the desire and the power to do what pleases Him.’ (Philippians 2:13 NLT) Mahatma Gandhi had a vision of a free and independent India at a time when it was governed by the British. Henry Ford had a vision of every family in America owning an automobile at a time when people were frightened of his new invention. Daniel K. Ludwig had a vision of a self-supporting industrial region in the heart of the Brazilian jungle at a time when there was no industry, no electricity, and no city of any kind for hundreds of kilometres. Where do such creative desires come from? God, Who is our Creator! And when God gives you a wide-blue-sky mindset, you’ll never be happy living in a mental birdcage. Are there times when you’ll feel afraid and uncertain about what to do? Yes! Fear and faith are two sides of the same coin, and they’ll always be part of your thinking. But the one you choose is the one that’ll determine your future—and you get to choose!\r
SoulFood: Ezek 16:53–19:14, Matt 16:13–28, Ps 48, Prov 14:33–35\r"
"Your purpose will be accompanied by peace","Vision Christian media","""2016-06-09T17:08:18.653Z""","""1970-01-01T00:00:00.000Z""","‘You shall … be led out with peace.’ Isaiah 55:12 NKJV\r
Perhaps you’re wondering, ‘What am I supposed to do with my life? What’s my purpose here?’ God answers these questions through our abilities. He leads us to our life’s purpose through the skills and talents He has given us. God-given gifts are the skills a person easily performs, often without formal training. We derive great pleasure from doing what we’re naturally good at doing. So if you aren’t sure of your life’s purpose, just do what you do well and watch God confirm it by blessing your endeavours. Don’t spend your time trying to do what you’re not gifted to do, or what somebody else is good at. We know we’re operating in our gifts and calling when what we do ministers life to others. If what we do makes us miserable and fills us with a sense of dread, usually we’re not in God’s perfect will. He gives us peace and joy to let us know we’re fulfilling His perfect plan: ‘For you shall go out with joy, and be led out with peace.’ Look at what you enjoy, what you’re good at, and what God is giving you the grace to do—then let God be God in your life. He wants to flow through you, and it may not be in the same way as He flows through others. Trust His ability in and through you, and don’t be afraid to be unique. God has a specific place and a specific plan for each of us. How will you know you’re in the right place fulfilling His plan? You will have peace!\r
SoulFood: Ezek 20–21, Matt 17:1–13, Ps 132:1–10, Prov 15:1–4\r"
"The winning strategy 1","Vision Christian media","""2016-06-09T17:08:18.653Z""","""1970-01-01T00:00:00.000Z""","‘Love never fails.’ 1 Corinthians 13:8 NIV\r
The Bible says, ‘Love never fails.’ Think about it: money doesn’t bring happiness, fame doesn’t bring self-worth, and revenge doesn’t bring satisfaction. The only thing that never fails is love. When Mother Teresa addressed world leaders at the United Nations, she was asked, ‘How can we have world peace?’ She replied, ‘Go home and love your family.’ If we all did that, ‘Paradise Lost’ would become ‘Paradise Found’! Napoleon Bonaparte’s intellectual greatness and intense egotism make his alleged tribute to the supremacy of leadership by love all the more striking. He said, ‘Alexander, Caesar, Charlemagne and I myself founded great empires: but upon what did the creations of our genius depend? Upon force. Jesus alone founded His empire upon love, and to this day millions would die for Him.’ Sometimes leaders are just power-holders. Because you can’t love others without making yourself vulnerable, they see expressing love as a weakness. But the fact is you can’t love and ‘keep all your options open’. To truly love—whether it’s your spouse, your children, or the people you lead—you must give yourself unreservedly in such a way that you can be hurt and even rejected. The fundamental principle on which power-holders operate is to protect themselves and everything they have. Whereas the fundamental principle of true leadership is to give of yourself with no holds barred. Love as an intrinsic characteristic of leadership seems outmoded, yet according to Scripture it’s still the winning strategy. The Bible says, ‘God has not given us a spirit of fear, but of power and of love and of a sound mind.’ (2 Timothy 1:7 NKJV) That’s why love is the winning strategy.\r
SoulFood: Ezek 22–23, Matt 17:14–27, Ps 132:11–18, Prov 15:5–7\r"
"Live Like Royalty","Wisdom for the day","""2016-06-09T17:08:18.654Z""","""1970-01-01T00:00:00.000Z""","""And hath made us kings and priests unto God and his Father; to Him be glory and dominion for ever and ever. Amen."" Revelation 1:6 (KJV)\r
 \r
You are royalty. You have been made kings and priests unto God. The reason the devil runs roughshod over you is because you have refused to understand this fact and to behave like royalty. There are environments in which you can't find a worldly prince because he is royalty. There are ways in which he can't talk. There are movies he can't watch because he does not want his mind to be twisted. There is music he does not listen to. There are books he will not read. He lives his life by virtue of who he is. He lives his life conscious of the fact that he is royalty. Because he is born royalty, others will train him and guide him to live the life of royalty. He is uncommon, so he can't function like a common man.\r
 \r
The word 'common' means ordinary, inferior, lacking distinction, mean, low, lacking in rank, and not exceptional. Why would you function like a common man when God has elevated you? Ephesians 2:4-6 (KJV) says, ""But God, who is rich in mercy, for his great love wherewith he loved us, Even when we were dead in sins, hath quickened us together with Christ, (by grace ye are saved;) And hath raised us up together and made us sit together in heavenly places in Christ Jesus"".\r
 \r
For too long the church has been a misrepresentation of royalty. That is why it appears as if we don't have the authority to declare things and have them carried out. Because the devil says, ""What do you mean, you are like me? What right do you have to tell me what to do? There is no difference between us. You live like me."" Child of God, you are royalty! So stop living life frivolously. Take responsibility for your life. You are the extension of God in your world. You are His righteousness. You are His beloved. Square up your shoulders, knowing who you are. It's your assignment. Understand that you are royalty and live like royalty.\r
 \r
Further Reading: Ephesians 2:1-10\r
Daily Bible Reading: Morning-2 Chronicles 32-33; Evening-John 18:19-40"
"The Greatest Source of Power","Myutmost for his highest","""2016-06-09T17:10:43.857Z""","""1970-01-01T00:00:00.000Z""","Whatever you ask in My name, that I will do… —John 14:13\r
\r
 Am I fulfilling this ministry of intercession deep within the hidden recesses of my life? There is no trap nor any danger at all of being deceived or of showing pride in true intercession. It is a hidden ministry that brings forth fruit through which the Father is glorified. Am I allowing my spiritual life to waste away, or am I focused, bringing everything to one central point— the atonement of my Lord? Is Jesus Christ more and more dominating every interest of my life? If the central point, or the most powerful influence, of my life, is the atonement of the Lord, then every aspect of my life will bear fruit for Him.\r
However, I must take the time to realise what this central point of power is. Am I willing to give one minute out of every hour to concentrate on it? “If you abide in Me…”— that is if you continue to act, and think, and work from that central point— “you will ask what you desire, and it shall be done for you” (John 15:7). Am I abiding? Am I taking the time to abide? What is the greatest source of power in my life? Is it my work, service, and sacrifice for others, or is it my striving to work for God? It should be none of these— what ought to exert the greatest power in my life is the atonement of the Lord. It is not on what we spend the greatest amount of time that moulds us the most, but whatever exerts the most power over us. We must make a determination to limit and concentrate our desires and interests on the atonement by the Cross of Christ.\r
“Whatever you ask in My name, that I will do….” The disciple who abides in Jesus is the will of God, and what appears to be his free choices are actually God’s foreordained decrees. Is this mysterious? Does it appear to contradict sound logic or seem totally absurd? Yes, but what a glorious truth it is a saint of God.\r
WISDOM FROM OSWALD CHAMBERS\r
Seeing is never believing: we interpret what we see in the light of what we believe. Faith is confidence in God before you see God emerging; therefore, the nature of faith is that it must be tried.  He Shall Glorify Me, 494 R\r
Bible in One Year: 2 Chronicles 28-29; John 17\r"
"Come Up Higher","Wisdom for the day","""2016-06-09T17:10:43.860Z""","""1970-01-01T00:00:00.000Z""","""Whereby are given unto us exceeding great and precious promises: that by these ye might be partakers of the divine nature, having escaped the corruption that is in the world through lust."" 2 Peter 1:4 (KJV)\r
 \r
The only way you can be on top of the world system as a believer is for you to make the decision to order your life based on the word of God. Otherwise, you will remain minced meat in the hands of the world system. Others are not going to change, but we have a power that can lift us up. We have things within us and available to us. We have a power that can silence the powers of darkness and cause us to take our portion.\r
 \r
God has called us and told us to come up higher. It is an invitation to you from God, telling you to grow up and that you can no longer remain a baby. I am calling all believers to rise up and be high-flyers. It is an invitation to leave the mundane and mediocrity. It is an invitation to shoot for excellence, to leave your footprints on the sands of time, to come up to a life of abundance and success, and to live a fulfilled life.\r
 \r
But the problem is that spiritual men and women want to live their lives in the flesh. ""For to be carnally minded is death; but to be spiritually minded is life and peace"" (Romans 8:6, KJV). To be carnally minded means that you are thinking like the rest of the world even though you are a spiritual person. As long as you want to dominate the material world in your flesh, you will never succeed, because there is a devil that is loosed on earth to hinder you. But God is saying that through His word He has given us exceedingly great and precious promises. And through these promises in the word, we can partake of His divine nature.\r
 \r
However, though you have a divine nature, which is the life of Christ in you, you can't partake of it until you begin to function in the promises. Come up to the higher ground today and function in the word.\r
 \r
Further Reading: 2 Peter 1\r
Daily Bible Reading: Morning-2 Chronicles 30-31; Evening-John 18:1-18\r"
"Be Careful What You Think","Every Prayer","""2016-06-09T17:10:43.860Z""","""1970-01-01T00:00:00.000Z""","\r
But his delight and desire are in the law of the Lord, and on His law (the precepts, the instructions, the teachings of God) he habitually meditates (ponders and studies) by day and by night. And he shall be like a tree firmly planted [and tended] by the streams of water, ready to bring forth its fruit in its season; its leaf also shall not fade or wither, and everything he does shall prosper I and come to maturity].Psalm 1:2-3\r
Your word has I laid up in my heart, that I might not sin against You...I will meditate on Your precepts and have respect to Your ways [the paths of life marked out by Your law]. Psalm 119:11, 15\r
In the early days of computers, they used to say, ""Garbage in, garbage out."" That was a way of explaining that the computer only worked with the data put into the machine. If we wanted different results, we needed to put in different information.\r
When it comes to computers, most people have no trouble grasping that concept, but when it comes to their minds, they don't seem to get it. Or perhaps they don't want to get it. So many things demand their attention and beg for their focus. They're not just sinful things. The apostle Paul said that although everything was lawful for him, not everything was helpful (see l Corinthians 6:12).\r
If you are going to win the battle of the mind and defeat your enemy, where you focus your attention is crucial. The more you meditate on God's Word, the stronger you'll become and the more easily you'll win the victories.\r
Too many Christians don't realise the difference between meditating on the Bible and reading the Bible. They like to think that whenever they read God's Word, they're absorbing the deep things of God. Too often people will read a chapter of the Bible, and when they get to the last verse, they have little idea of what they've read. Those who meditate on Gods Word are those who think and think seriously about what they're reading.\r
They may not put it in these words, but they are saying, ""God, speak to me. Teach me. As I ponder Your Word, reveal its depth to me.""\r
In today’s scripture, I quoted from Psalm 1. This psalm begins by defining the person who is blessed and then points out the right actions of that person. The psalmist wrote that those who meditate and do it day and night are like productive trees...and everything they do shall prosper.\r
The psalmist made it quite clear that meditating on and thinking about God's Word brings results. As you ponder who God is and what He’s saying to you, you'll grow. It's really that simple. Another way to put it is to say that whatever you focus on, you become. If you read about and allow your mind to focus on God's love and power, that's what operates in you.\r
The apostle Paul says it beautifully in Philippians 4:8: ...""Whatever is true, whatever is worthy of reverence and is honorable and seemly, whatever is just, whatever is pure, whatever is lovely and lovable, whatever is kind and winsome and gracious, if there are any virtue and excellence, if there is anything worthy of praise, think on and weigh and take account of these things [fix your minds on them].""\r
It's sad, but most Christians don't put much effort into their study of the Word_ They go to hear others teach and preach, and they may listen to sermon tapes and read the Bible occasionally, but they're not dedicated to making God's Word a major part of their lives.\r
Be careful what you think about. The more you think about good things, the better your life will seem. The more you think about Jesus Christ and the principles He taught, the more you become like Jesus and the stronger you grow And as you grow, you win the battle for your mind.\r
Lord God, help me think about the things that honour` You. Fill my life with a hunger for more of You and Your Word so that in everything I may prosper. I ask this through Jesus Christ. Amen.\r"
"Then What’s Next To Do?","Myutmost for his highest","""2016-06-09T17:10:43.860Z""","""1970-01-01T00:00:00.000Z""","Everyone who asks receives… —Luke 11:10\r
\r
Ask if you have not received. There is nothing more difficult than asking. We will have yearnings and desires for certain things, and even suffer as a result of their going unfulfilled, but not until we are at the limit of desperation will we ask. It is the sense of not being spiritually real that causes us to ask. Have you ever asked out of the depths of your total insufficiency and poverty? “If any of you lacks wisdom, let him ask of God…” (James 1:5), but be sure that you do lack wisdom before you ask. You cannot bring yourself to the point of spiritual reality anytime you choose. The best thing to do, once you realise you are not spiritually real, is to ask God for the Holy Spirit, basing your request on the promise of Jesus Christ (see Luke 11:13). The Holy Spirit is the one who makes everything that Jesus did for you real in your life.\r
“Everyone who asks receives….” This does not mean that you will not get if you do not ask, but it means that until you come to the point of asking, you will not receive from God (seeMatthew 5:45). To be able to receive means that you have to come into the relationship of a child of God, and then you comprehend and appreciate mentally, morally, and with spiritual understanding, that these things come from God.\r
“If any of you lacks wisdom….” If you realise that you are lacking, it is because you have come in contact with spiritual reality— do not put the blinders of reason on again. The word asks actually means “beg.” Some people are poor enough to be interested in their poverty, and some of us are poor enough spiritually to show our interest. Yet we will never receive if we ask with a certain result in mind because we are asking out of our lust, not out of our poverty. A pauper does not ask out of any reason other than the completely hopeless and painful condition of his poverty. He is not ashamed to beg— blessed are the paupers in spirit (see Matthew 5:3).\r
WISDOM FROM OSWALD CHAMBERS\r
Am I getting nobler, better, more helpful, more humble, as I get older? Am I exhibiting the life that men take knowledge of as having been with Jesus, or am I getting more self-assertive, more deliberately determined to have my own way? It is a great thing to tell yourself the truth.\r
The Place of Help\r
Bible in One Year: 2 Chronicles 32-33; John 18:19-40"
"Put the rumor to rest","Faith for Faith","""2016-06-09T17:10:43.861Z""","""1970-01-01T00:00:00.000Z""","Years ago Satan started a rumor. He told a few Christians they had to live like the world, sharing all the same misfortune, defeat, poverty and failure as those around them. Well, the word spread. You may have heard the rumor yourself. But I am telling you right now that it is a crafty lie.\r
The Word of God says in Psalm 91:10, that evil can’t even come near your house if you are abiding in Him.\r
In John 16, Jesus Himself says He has deprived the world of power to harm you. And Exodus 10:23 says that when thick darkness surrounded the Egyptians, the children of Israel had light in their dwellings.\r
By these and other scriptures, you can see that God never intended you to experience all of the junk that the world suffers. He’s always wanted His children to live above it, to stand out as light in a dark world.\r
In the Old Testament, God’s fame was established because of the miracles He had worked for His children. That same thing should be true today with you and me. We should be glorifying God by the miraculously victorious lives we live. People should be coming up to us and saying things like, “I’ve heard how God healed you.” Or, “I’ve heard how your children were delivered from drugs,” or, “God has really brought you out of a financial crisis.”\r
Can you see now why Satan would spread a rumor that would make you believe you have to suffer with the world instead of live as victor over it? He doesn’t want people running after you asking where you get your power, your peace, your health and prosperity.\r
But that’s exactly what God wants to happen. So, put the Word of God to work and dare to receive the blessings He has promised to you. Let the light of God’s power in your life put the devil’s dark rumors to rest!\r"
"And After That What’s Next To Do?","Myutmost for his highest","""2016-06-09T17:10:43.862Z""","""1970-01-01T00:00:00.000Z""","…seek, and you will find… —Luke 11:9\r
\r
Seek if you have not found. “You ask and do not receive because you ask amiss…” (James 4:3). If you ask for things from life instead of from God, “you ask amiss”; that is, you ask out of your desire for self-fulfillment. The more you fulfil yourself the less you will seek God. “…seek, and you will find….” Get to work— narrow your focus and interests to this one thing. Have you ever sought God with your whole heart, or have you simply given Him a feeble cry after some emotionally painful experience? “…seek, [focus,] and you will find….”\r
“Ho! Everyone who thirsts, come to the waters…” (Isaiah 55:1). Are you thirsty, or complacent and indifferent— so satisfied with your own experience that you want nothing more of God? Experience is a doorway, not a final goal. Beware of building your faith on experience, or your life will not ring true and will only sound the note of a critical spirit. Remember that you can never give another person what you have found, but you can cause him to have a desire for it.\r
“…knock, and it will be opened to you” (Luke 11:9). “Draw near to God…” (James 4:8). Knock— the door is closed, and your heartbeat races as you knock. “Cleanse your hands…” (James 4:8). Knock a bit louder— you begin to find that you are dirty. “…purify your hearts…” (James 4:8). It is becoming even more personal— you are desperate and serious now— you will do anything. “Lament…” (James 4:9). Have you ever lamented, expressing your sorrow before God for the condition of your inner life? There is no thread of self-pity left, only the heart-rending difficulty and amazement which comes from seeing what kind of person you really are. “Humble yourselves…” (James 4:10). It is a humbling experience to knock at God’s door— you have to knock with the crucified thief. “…to him who knocks it will be opened” (Luke 11:10).\r
WISDOM FROM OSWALD CHAMBERS\r
To those who have had no agony Jesus says, “I have nothing for you; stand on your own feet, square your own shoulders. I have come for the man who knows he has a bigger handful than he can cope with, who knows there are forces he cannot touch; I will do everything for him if he will let Me. Only let a man grant he needs it, and I will do it for him.” The Shadow of an Agony, 1166 R\r
Bible in One Year: 2 Chronicles 34-36; John 19:1-22\r"
"Addicted to the word","Faith for Faith","""2016-06-09T17:10:43.862Z""","""1970-01-01T00:00:00.000Z""","I want you to begin to develop an addiction today—an addiction to the Word of God. That may sound odd to you, especially if you don’t have much of an interest in the Word right now. But, believe me, it’s possible. I’ve done it myself and I’ve seen others do it, time and again.\r
All you have to do is make a decision to give yourself to it. To focus your time and attention on it. The more you give yourself to it, the more your desire for it will grow. Eventually, it will consume your thinking.\r
Surprised? You shouldn’t be. That happens with anything you totally give yourself to. It happens, for example, with people who give themselves to pornography. As they focus their attention on it, the spirit behind it moves in on their consciousness and eventually draws them from mental activity into physical activity. Finally, they come to a place where they can’t be satisfied. They can’t get enough.\r
That same principle works on the positive side when you begin to give yourself to God’s Word. You can give yourself to it to the point where it totally consumes your mental and physical life. The more of it you get, the more you want. The Spirit behind the Word, the Holy Spirit, will draw you and lead you closer to Jesus than you ever imagined possible.\r
I’ve never yet met anyone walking in faith and power who at some time hadn’t developed that kind of addiction by giving themselves totally to the Word for an extended time. I don’t mean just a few minutes here and there either. I’m talking about some serious time.\r
So determine to do that. Determine to become a “Word addict.” Once you do, you’ll never be willing to live without it again.\r
Scripture Reading:\r
Hebrews 4:1-12\r"
" Averting Judgment"," daily manna","""2016-06-09T17:10:43.862Z""","""1970-01-01T00:00:00.000Z""","Through nine rhetorical questions in our text, Prophet Amos pronounces God's revelation of the judgment on the sin of Israel. Warnings are wrapped in the posers, which are themselves very profound truths designed to teach deep Kingdom and relational realities. Can two walk together if they are not spiritually compatible? Would a Holy God entertain companionship with carnal man? No. The carnal man must first abandon his sinful way. If the Lion of the tribe of Judah should roar against sin, would the sinner not tremble and fear? And if the battle trumpet be blown, would there not be a flight for safety? Notwithstanding, there is God's assurance that even in anger He is merciful. What God is telling us is that He will always use His servants to issue warnings before moving in with judgments if the need arises. Can man then murmur when swift divine judgment follows the refusal to repent? We are the architect of the evil that accompanies sin, not God. The instructive takeaway of the lesson today is that the sinner and backslider as well as the careless Christian should not handle God's warning about the wrath to come with levity. God's admonitions are the Father's unique way of showing mercy to us. It is also a clarion call to the believer not to fall for the erroneous teaching of eternal security which assumes that a saved person can live a care-free life without watching against the possibility of backsliding. God's precepts are for all and sundry. Proverb 14:16 says it all: ""A wise man feareth, and departeth from evil: but the fool rageth, and is confident.""\r
\r
Thought for the day: He who fails to learn prime lessons of today is a calamity waiting to unfold.\r"
"Grace is enough","Faith for Faith","""2016-06-09T17:10:43.862Z""","""1970-01-01T00:00:00.000Z""","The devil has used the traditional teaching of Paul’s thorn in the flesh to talk believers out of the blessings of God for years, to try to convince us to settle for everything from sickness to sin—and to do it of our own free will.\r
It is perhaps the most destructive and the most widely accepted misinterpretation of Scripture that exists in the Body of Christ today. I’ve gone into countries to preach to people who hardly had any knowledge of the Word at all and still I have found that somehow they’d been taught about Paul’s thorn.\r
And most of them have been taught wrongly.\r
Tradition says that God gave Paul the thorn in the flesh. What’s more, tradition makes the “thorn” into some great mystery. But the Scripture doesn’t say that at all!\r
It says that the thorn in the flesh was a messenger of Satan. Not God—Satan! The thorn was quite literally just what Paul says it was—a “messenger sent from Satan.”\r
You see, everywhere Paul went, he preached the gospel and every time he preached, he destroyed a little more of Satan’s kingdom. So, Satan sent a messenger, an evil spirit, to stop him.\r
When Paul sought the Lord concerning this thorn (look at 2 Corinthians 12:8-10), God didn’t answer Paul in the negative. God said, “My grace (or, My favor) is enough. It is sufficient for you. For My strength is made perfect in your weakness (inability to produce results)” (W.E. Vine’s Expository Dictionary of Old and New Testament Words).\r
In other words, when Paul didn’t have enough human strength to overcome, God’s miracle-working power was sufficient for him. It enabled him to be an overcomer in spite of his weakness.\r
Don’t allow the devil to talk you out of your victory. Throw tradition aside and dare to believe the Word of God. Fight the fight of faith, and just like the Apostle Paul, you will see the salvation of the Lord!\r
Scripture Reading:\r
2 Corinthians 12:1-10\r"
"Develop the love","Faith for Faith","""2016-06-09T17:10:43.862Z""","""1970-01-01T00:00:00.000Z""","Quite simply, God says love is keeping His commandments. That brings love out of the indefinite into something explicit. But God has done more than define love for you. He’s given you instructions so that you can know how to love as He loves. By giving you His Word, God has given you His love manual in black and white. All you have to do is follow it and you’ll be walking in love.\r
If you’ve made Jesus Christ the Lord of your life, you’ve already taken the first step of obedience. The love of God has been born within you. But, unless you take steps to develop it, that love will remain hidden within you. Love works in much the same way as the force of faith. Like faith, love becomes active through knowledge of the Word.\r
Become love conscious by confessing and acting on God’s Word today. As you meditate these scriptures, see yourself living the love life. See yourself walking in accordance with and guided by the commandments of Jesus. Develop the love He has hidden in you.\r
\r
Scripture Reading:\r
1 John 2:3-11\r"
"From desperation to devotion","Faith for Faith","""2016-06-09T17:10:43.863Z""","""1970-01-01T00:00:00.000Z""","Things, things, things! A better job. A bigger house. New clothes for the kids. Tomorrow’s luncheon date. A better television. Get the picture?\r
Many of us have learned to believe God to prosper us to such a degree that we have too much to keep up with. We end up spending so much time and energy taking care of the legitimate “things” of life that we unconsciously give the attention and affections of our heart over to this natural world instead of to God.\r
When Kenneth and I first heard about living by faith, we were in desperate circumstances. We were sick and broke, so it was easy for us to dedicate ourselves to prayer and to the Word. But as we honored God’s Word, He honored and prospered us. We came to the place where we were no longer desperate. Then came the real test of our faith. Would we serve God out of our love for Him instead of our desperation?\r
Well, praise God, we did. But in the process we found out one thing: It takes a lot more dedication to serve God when you’re prosperous than it takes when you’re desperate! There’s a constant temptation to get so caught up in the earthly things that your desire for the things of God fades into the background.\r
As the material blessings of God come your way, remember, God has not trained you in His Word so you can consume it on your own lusts. He has revealed His Word to you so you can walk in the spirit and do the job He’s called you to do.\r
Don’t let the things of this world cause you to miss out on the glorious things of the spirit. Get your priorities in line with God’s Word. Set your mind on things above, and you’ll discover just how heavenly life was really meant to be!\r
\r
Scripture Reading:\r
Colossians 3:1-16\r"
"Getting There (1)","Myutmost for his highest","""2016-06-09T17:10:43.863Z""","""1970-01-01T00:00:00.000Z""","Come to Me… —Matthew 11:28\r
\r
Where sin and sorrow stops, and the song of the saint starts. Do I really want to get there? I can right now. The questions that truly matter in life are remarkably few, and they are all answered by these words— “Come to Me.” Our Lord’s words are not, “Do this, or don’t do that,” but— “Come to me.” If I will simply come to Jesus, my real life will be brought into harmony with my real desires. I will actually cease from sin, and will find the song of the Lord beginning in my life.\r
Have you ever come to Jesus? Look at the stubbornness of your heart. You would rather do anything than this one simple childlike thing— “Come to Me.” If you really want to experience ceasing from sin, you must come to Jesus.\r
Jesus Christ makes Himself the test to determine your genuineness. Look how He used the word come. At the most unexpected moments in your life there is this whisper of the Lord— “Come to Me,” and you are immediately drawn to Him. Personal contact with Jesus changes everything. Be “foolish” enough to come and commit yourself to what He says. The attitude necessary for you to come to Him is one where your will has made the determination to let go of everything and deliberately commit it all to Him.\r
“…and I will give you rest”— that is, “I will sustain you, causing you to stand firm.” He is not saying, “I will put you to bed, hold your hand, and sing you to sleep.” But, in essence, He is saying, “I will get you out of bed— out of your listlessness and exhaustion, and out of your condition of being half dead while you are still alive. I will penetrate you with the spirit of life, and you will be sustained by the perfection of vital activity.” Yet we become so weak and pitiful and talk about “suffering” the will of the Lord! Where is the majestic vitality and the power of the Son of God in that?\r
WISDOM FROM OSWALD CHAMBERS\r
The great word of Jesus to His disciples is Abandon. When God has brought us into the relationship of disciples, we have to venture on His word; trust entirely to Him and watch that when He brings us to the venture, we take it.  Studies in the Sermon on the Mount, 1459 R\r
Bible in One Year: Ezra 1-2; John 19:23-42\r"
"Play to win","Faith for Faith","""2016-06-09T17:10:43.864Z""","""1970-01-01T00:00:00.000Z""","I’ve often heard people say, “It’s not whether you win or lose, it’s how you play the game.” That’s nonsense. If you play the game right, you’ll win!\r
Any coach will tell you that part of playing the game right is having a winning attitude. That’s what God wants us, as believers, to have. He wants us to have so much faith in Him that we expect to whip any obstacle the devil brings our way. He wants us to expect to win at the game of life.\r
But most of us don’t come by that attitude easily. We’re so accustomed to losing that we have to totally change our way of thinking if we want to have a winning mind-set. In Ephesians, the Apostle Paul told the Church to renew their minds. Like us, they needed to change their attitudes, to renew their minds to the fact that Jesus overcame the world.\r
If you haven’t already, you need to do that too! You need to develop a glorious sense of confidence that says, “Hey, Devil, I’m going to be victorious and there’s not a thing you can do to stop me!”\r
“But, Brother Copeland, you don’t know the kinds of problems I’m facing.”\r
I know I don’t, but Jesus does and He said you should “cheer up” because He can give you peace in the midst of tribulation. He said that when Satan comes against you with everything he has, you should take heart because He’s already beaten it—Jesus has already overcome it and so can you!\r
First John 5:5 puts it this way, “Who is he that overcometh the world, but he that believeth that Jesus is the Son of God?”\r
Do you know what that scripture means? It means that if you are a born-again believer, you have an absolute right to be a winner, to overcome every aspect of this evil world. Think about that. Meditate on it. Start developing a winning attitude today!\r
\r
Scripture Reading:\r
Romans 8:29-39\r"
"Getting There (2)","Myutmost for his highest","""2016-06-09T17:10:43.864Z""","""1970-01-01T00:00:00.000Z""","They said to Him, ""Rabbi…where are You staying?"" He said to them, ""Come and see."" —John 1:38-39\r
\r
Where our self-interest sleeps and the real interest is awakened. “They…remained with Him that day….” That is about all some of us ever do. We stay with Him a short time, only to wake up to our own realities of life. Our self-interest rises up and our abiding with Him is passed. Yet there is no circumstance of life in which we cannot abide in Jesus.\r
“You are Simon….You shall be called Cephas” (John 1:42). God writes our new name only on those places in our lives where He has erased our pride, self-sufficiency, and self-interest. Some of us have our new name written only in certain spots, like spiritual measles. And in those areas of our lives we look all right. When we are in our best spiritual mood, you would think we were the highest quality saints. But don’t dare look at us when we are not in that mood. A true disciple is one who has his new name written all over him— self-interest, pride, and self-sufficiency has been completely erased.\r
Pride is the sin of making “self” our god. And some of us today do this, not like the Pharisee, but like the tax collector (see Luke 18:9-14). For you to say, “Oh, I’m no saint,” is acceptable by human standards of pride, but it is unconscious blasphemy against God. You defy God to make you a saint, as if to say, “I am too weak and hopeless and outside the reach of the atonement by the Cross of Christ.” Why aren’t you a saint? It is either that you do not want to be a saint, or that you do not believe that God can make you into one. You say it would be all right if God saved you and took you straight to heaven. That is exactly what He will do! And not only do we make our home with Him, but Jesus said of His Father and Himself, “…We will come to him and make Our home with him” (John 14:23). Put no conditions on your life— let Jesus be everything to you, and He will take you home with Him not only for a day but for eternity.\r
WISDOM FROM OSWALD CHAMBERS\r
We are all based on a conception of importance, either our own importance or the importance of someone else; Jesus tells us to go and teach based on the revelation of His importance. “All power is given unto Me.… Go ye, therefore ….”  So Send I You, 1325 R\r
Bible in One Year: Ezra 3-5; John 20"
"Getting There (3)","Myutmost for his highest","""2016-06-09T17:10:43.864Z""","""1970-01-01T00:00:00.000Z""","…come, follow Me. —Luke 18:22\r
\r
Where our individual desire dies and sanctified surrender lives. One of the greatest hindrances in coming to Jesus is the excuse of our own individual temperament. We make our temperament and our natural desires barriers to coming to Jesus. Yet the first thing we realise when we do come to Jesus is that He pays no attention whatsoever to our natural desires. We have the idea that we can dedicate our gifts to God. However, you cannot dedicate what is not yours. There is actually only one thing you can dedicate to God, and that is your right to yourself (see Romans 12:1). If you will give God your right to yourself, He will make a holy experiment out of you— and His experiments always succeed. The one true mark of a saint of God is the inner creativity that flows from being totally surrendered to Jesus Christ. In the life of a saint, there is this amazing Well, which is a continual Source of original life. The Spirit of God is a Well of water springing up perpetually fresh. A saint realises that it is God who engineers his circumstances; consequently, there are no complaints, only unrestrained surrender to Jesus. Never try to make your experience a principle for others, but allow God to be as creative and original with others as He is with you.\r
If you abandon everything to Jesus and come when He says, “Come,” then He will continue to say, “Come,” through you. You will go out into the world reproducing the echo of Christ’s “Come.” That is the result in every soul who has abandoned all and come to Jesus.\r
Have I come to Him? Will I come now?\r
WISDOM FROM OSWALD CHAMBERS\r
Beware of pronouncing any verdict on the life of faith if you are not living it. Not Knowing Whither, 900 R\r
Bible in One Year: Ezra 6-8; John 21\r"
